Registration Number,First Name,Middle Name,Last Name,Gender,Date of Birth,Nationality,Country of Residence,Phone Number,Email Address,Home Address,City,State,Zip Code,University,Current GPA / CGPA,Previous GPA (historic tracking),Credits Completed,Credits Remaining,Courses Enrolled Per Semester,Course Codes,Course Units,Technical Skills,Soft Skills,Research Interests,Professional Interests,Hobbies,Preferred Learning Style,Study Partners Preferences,Preferred Study Hours,CS and Data Science Interests
202500238,Jeremiah,Autumn,Perez,Male,2001-08-25,United States,United States,(491) 795-8353,jeremiah.perez80@gmail.com,"6380 Maple Lane, Apt 58",Los Angeles,CA,44632,University of Michigan--Ann Arbor,2.38,3.87; 2.29; 2.19; 3.09; 2.34,55,63,6,"DATA201, EE301, DATA201, BIO202, ML502, EE301",23,"Python, R, C++, Machine Learning, Java, Docker, PyTorch","Communication, Time Management, Problem-solving","Data Science, Cybersecurity",ML Engineer,"Cooking, Hiking, Reading, Photography, Gaming, Music",Reading/Writing,Small group,Evening,"None, Machine Learning, AI, Data Science"
202080593,Sebastian,Thomas,Kim,Male,2005-02-10,United States,United States,(636) 705-6702,sebastian.kim25@gmail.com,"5873 Park Way, Apt 46",Los Angeles,IL,88208,University of California--Los Angeles,2.82,2.44; 3.83; 3.01,37,91,4,"CS101, BIO202, ML502, PSY101",13,"PyTorch, Pandas, C++, Java, Git, JavaScript, TensorFlow, Cybersecurity, Python","Teamwork, Problem-solving, Communication, Leadership","Artificial Intelligence, None, Cybersecurity, NLP","Cybersecurity Analyst, Data Scientist","Sports, Hiking, Photography, Cooking, Music, Gaming",Auditory,One-on-one,Late night,"Computer Vision, NLP"
202102412,Samuel,Layla,Scott,Male,2003-06-12,United States,United States,(412) 940-5123,samuel.scott41@gmail.com,"9991 Pine Avenue, Apt 83",Los Angeles,GA,45694,Purdue University,2.42,3.4; 2.37; 3.12; 3.76,80,45,6,"DS401, CS201, MATH101, BIO202, PSY101, BIO202",22,"Java, R, Git, JavaScript","Time Management, Leadership, Teamwork","Computer Vision, Data Science, None","ML Engineer, Software Engineer, AI Researcher","Music, Hiking, Sports, Cooking, Photography, Gaming",Auditory,One-on-one,Morning,"Computer Vision, NLP, None, Machine Learning, Cybersecurity"
202431798,Nolan,Layla,Brooks,Male,2003-02-10,United States,United States,(889) 451-4028,nolan.brooks94@gmail.com,5484 Oak Boulevard,Los Angeles,FL,38284,University of Wisconsin--Madison,3.94,2.38; 2.86; 2.06,49,64,6,"DATA201, EE301, AI501, MATH101, CS101, MATH101",19,"Git, R, SQL, Python","Time Management, Teamwork, Communication","Cybersecurity, Machine Learning","ML Engineer, AI Researcher, Software Engineer","Gaming, Hiking",Kinesthetic,Small group,Evening,Computer Vision
202058513,Kinsley,Isabella,Hall,Female,2002-01-08,United States,United States,(720) 383-7316,kinsley.hall10@gmail.com,2033 Lake Boulevard,Seattle,IL,45909,University of Texas at Austin,2.31,3.15; 2.21; 2.99; 2.38; 3.08; 3.41,64,60,3,"ML502, CS201, PHYS101",11,"Cybersecurity, Deep Learning, Machine Learning, Java, Python, JavaScript, R, Git","Time Management, Communication, Leadership, Critical Thinking, Teamwork",,"Data Scientist, Cybersecurity Analyst","Hiking, Music, Photography, Cooking, Sports",Auditory,Small group,Evening,"Machine Learning, NLP"
202266759,Luna,Lucy,Allen,Female,2001-09-25,United States,United States,(949) 238-9318,luna.allen56@gmail.com,8976 Cedar Lane,Miami,FL,50048,Harvard University,2.52,3.26; 2.3; 2.0; 2.85; 2.36,63,55,6,"BIO202, PSY101, ECON101, DS401, PHYS101, CS101",22,"Machine Learning, R, Cybersecurity, SQL, C++, Pandas, JavaScript, PyTorch, AWS","Time Management, Communication, Critical Thinking, Teamwork","Cybersecurity, Machine Learning, None",ML Engineer,"Gaming, Cooking, Hiking, Sports",Kinesthetic,Online,Morning,"NLP, Data Science"
202565071,Riley,Jordan,Clark,Female,2002-01-29,United States,United States,(825) 793-5230,riley.clark59@gmail.com,"7805 Sunset Road, Apt 12",Austin,NY,82017,Columbia University,3.19,None,24,104,5,"DATA201, PHYS101, PSY101, AI501, MATH101",20,"Git, Pandas, Java","Critical Thinking, Teamwork, Problem-solving, Communication, Time Management, Leadership","Computer Vision, Data Science",Software Engineer,"Photography, Gaming",Kinesthetic,Online,Morning,"Data Science, None, Cybersecurity"
202428373,Natalie,Emery,Adams,Female,2004-10-19,United States,United States,(924) 790-4757,natalie.adams63@gmail.com,"1354 Lake Drive, Apt 130",New York,NY,60378,Massachusetts Institute of Technology,3.14,2.52; 3.77,61,55,5,"CS201, ML502, MATH101, DATA201, CYBER301",19,"SQL, Python, C++, Pandas, Cybersecurity","Time Management, Problem-solving, Teamwork, Leadership","Computer Vision, Machine Learning, Cybersecurity, Data Science",AI Researcher,"Photography, Gaming",Kinesthetic,Alone,Afternoon,"Cybersecurity, Computer Vision, Data Science, NLP, None"
202154591,Austin,Austin,Hill,Male,2001-10-20,United States,United States,(925) 701-8531,austin.hill45@gmail.com,"6838 Cedar Lane, Apt 166",Miami,FL,63373,New York University,3.76,2.1; 2.77; 2.65; 2.7; 2.04; 3.68,20,92,4,"PHYS101, DATA201, MATH101, PHYS101",14,"Git, Machine Learning, Docker, Python, JavaScript, Cybersecurity, R","Leadership, Teamwork, Critical Thinking, Communication, Problem-solving, Time Management","Cybersecurity, NLP","Data Scientist, AI Researcher, ML Engineer","Photography, Cooking, Music, Gaming, Reading, Sports",Visual,Small group,Afternoon,"Cybersecurity, Data Science"
202371344,Luna,Chloe,Alvarez,Female,2001-07-15,United States,United States,(394) 656-8531,luna.alvarez33@gmail.com,"7448 Cedar Way, Apt 32",Boston,MA,56835,Purdue University,3.08,2.35; 2.83; 2.27,77,45,6,"AI501, EE301, PHYS101, BIO202, AI501, CYBER301",22,"Deep Learning, Python, Machine Learning, JavaScript, Docker, Git, PyTorch, TensorFlow, SQL","Communication, Teamwork, Critical Thinking, Time Management, Problem-solving, Leadership","Data Science, Cybersecurity, Artificial Intelligence","ML Engineer, Cybersecurity Analyst, Data Scientist","Sports, Reading, Hiking",Kinesthetic,Online,Afternoon,"AI, NLP"
202038607,Elijah,Autumn,Alvarez,Male,2004-02-12,United States,United States,(466) 677-1473,elijah.alvarez74@gmail.com,"648 Sunset Road, Apt 102",Atlanta,TX,41741,Stanford University,3.57,2.53; 2.49; 3.97; 3.6; 3.31,123,0,4,"BIO202, MATH101, PSY101, MATH101",14,"Java, Cybersecurity, Python, Pandas, JavaScript, SQL, R, Git","Teamwork, Time Management, Problem-solving","Artificial Intelligence, None",AI Researcher,"Gaming, Hiking, Music, Sports, Photography, Cooking",Visual,One-on-one,Evening,"Data Science, None, AI, Computer Vision"
202443351,Cora,Liam,Scott,Female,2006-03-06,United States,United States,(492) 217-6169,cora.scott36@gmail.com,"9660 Sunset Boulevard, Apt 172",Atlanta,TX,90492,Purdue University,2.33,3.42; 2.74,102,27,5,"CYBER301, CYBER301, DATA201, ML502, MATH101",16,"Docker, PyTorch, JavaScript, TensorFlow, AWS, Git, C++, Deep Learning, Python","Teamwork, Communication, Critical Thinking, Problem-solving, Time Management","Data Science, None, Artificial Intelligence, Cybersecurity","AI Researcher, Cybersecurity Analyst, Software Engineer, ML Engineer","Cooking, Reading, Sports, Music, Photography, Gaming",Auditory,One-on-one,Late night,"None, Cybersecurity, Machine Learning"
202009083,Ezra,Jordan,Cox,Male,2004-03-01,United States,United States,(344) 563-9423,ezra.cox48@gmail.com,1789 Main Drive,Houston,GA,94559,Johns Hopkins University,2.68,3.98; 3.07,119,4,5,"EE301, DATA201, PSY101, ECON101, CS101",16,"SQL, Git, Machine Learning, R","Communication, Leadership, Critical Thinking",NLP,Cybersecurity Analyst,"Cooking, Sports, Hiking, Reading, Photography, Gaming",Visual,Small group,Late night,"Cybersecurity, NLP, AI"
202106540,Claire,Adam,Ross,Female,2002-12-30,United States,United States,(377) 264-9437,claire.ross41@gmail.com,3624 Lake Avenue,Boston,NY,81792,University of Washington,3.82,2.08; 2.11; 2.39; 3.07; 3.64; 3.73,63,55,4,"DATA201, CS201, CS201, CS101",14,"Docker, JavaScript, SQL, Java","Communication, Problem-solving, Teamwork",Machine Learning,AI Researcher,"Sports, Gaming, Reading, Cooking",Kinesthetic,Small group,Morning,"AI, Cybersecurity"
202057751,Emma,Ella,Cruz,Female,2001-12-27,United States,United States,(626) 514-2344,emma.cruz80@gmail.com,"1735 Main Lane, Apt 190",Seattle,MA,96985,Carnegie Mellon University,3.61,2.91; 3.48,125,0,5,"DATA201, PSY101, CYBER301, PHYS101, PSY101",18,"Machine Learning, Java, Python, Git, Deep Learning, Pandas, TensorFlow, PyTorch","Teamwork, Time Management, Leadership",NLP,"Data Scientist, Software Engineer, ML Engineer","Gaming, Music, Cooking, Photography, Reading, Sports",Reading/Writing,One-on-one,Late night,"Computer Vision, Data Science"
202485807,Avery,Lucas,Ortiz,Female,2004-01-15,United States,United States,(473) 772-6564,avery.ortiz79@gmail.com,8235 Hill Way,New York,CA,55254,University of Pennsylvania,3.27,3.32,105,20,4,"MATH101, PSY101, PSY101, PSY101",12,"Pandas, C++, SQL, JavaScript, AWS, Docker","Leadership, Time Management, Communication",,"AI Researcher, Data Scientist, ML Engineer","Sports, Hiking",Visual,Small group,Late night,None
202141072,Mia,Weston,Peterson,Female,2002-12-12,United States,United States,(425) 727-9063,mia.peterson68@gmail.com,"3080 Elm Street, Apt 108",Boston,GA,44536,Massachusetts Institute of Technology,3.07,2.8; 3.96; 3.93; 2.08; 3.16; 2.51,36,94,5,"MATH101, BIO202, CS201, CS101, BIO202",19,"Cybersecurity, AWS, Docker, Pandas, Git, R, PyTorch","Teamwork, Leadership, Problem-solving, Communication",,"Data Scientist, ML Engineer, AI Researcher, Software Engineer","Reading, Hiking",Auditory,Online,Morning,"Data Science, NLP, Cybersecurity"
202059030,Harper,Madeline,Kelly,Female,2001-03-05,United States,United States,(777) 539-4621,harper.kelly17@gmail.com,"3611 Lake Street, Apt 54",Los Angeles,MA,78295,University of Washington,3.3,2.65; 2.49; 2.34; 3.44; 2.58; 2.15,46,72,6,"PSY101, CS201, MATH101, CS101, PHYS101, DS401",21,"Pandas, Git, Docker, Python, AWS, SQL, PyTorch, Deep Learning","Communication, Problem-solving, Leadership, Critical Thinking, Teamwork, Time Management","NLP, Machine Learning, None, Computer Vision",Software Engineer,"Gaming, Photography, Hiking, Sports, Reading, Music",Reading/Writing,One-on-one,Late night,"Computer Vision, Cybersecurity, Data Science, NLP, Machine Learning"
202563556,Aubrey,Elijah,Ward,Female,2004-02-15,United States,United States,(925) 668-5529,aubrey.ward12@gmail.com,"5407 Lake Avenue, Apt 123",Boston,WA,85345,University of Chicago,3.11,2.16,106,24,4,"MATH101, DATA201, CYBER301, EE301",15,"Java, Pandas, PyTorch, SQL, AWS, Git, C++, TensorFlow","Communication, Teamwork, Time Management, Critical Thinking, Leadership, Problem-solving","Cybersecurity, Machine Learning","ML Engineer, Cybersecurity Analyst, Data Scientist","Reading, Sports, Music, Hiking",Visual,Online,Late night,"NLP, Data Science, Machine Learning, AI, Computer Vision"
202530737,Jayden,Jade,Cook,Male,2001-09-07,United States,United States,(234) 481-1132,jayden.cook27@gmail.com,1906 Sunset Way,Los Angeles,WA,85445,California Institute of Technology,3.11,2.31; 3.84; 2.29; 3.05; 3.52,70,49,4,"DATA201, DS401, CS201, PSY101",14,"Cybersecurity, SQL, AWS, Python","Communication, Leadership, Problem-solving",Cybersecurity,"Cybersecurity Analyst, ML Engineer, Software Engineer, Data Scientist","Sports, Photography, Music, Reading",Kinesthetic,Small group,Afternoon,"AI, NLP, Data Science, Computer Vision"
202374778,Rylee,Sophia,Brooks,Female,2002-07-19,United States,United States,(528) 939-4563,rylee.brooks72@gmail.com,"8222 Pine Street, Apt 162",Houston,IL,49179,University of Texas at Austin,3.36,None,42,87,4,"ECON101, CS101, BIO202, CS101",13,"Deep Learning, Python, PyTorch, Docker","Communication, Critical Thinking, Leadership, Teamwork, Time Management, Problem-solving",Data Science,"Data Scientist, AI Researcher, ML Engineer","Hiking, Cooking, Sports, Photography, Music",Reading/Writing,Alone,Late night,"NLP, AI, Data Science, Cybersecurity, Computer Vision"
202334746,Landon,Lily,Rodriguez,Male,2006-06-03,United States,United States,(796) 237-8887,landon.rodriguez3@gmail.com,"6238 Maple Street, Apt 40",Boston,NY,50215,University of California--Los Angeles,3.33,2.68,40,83,5,"DS401, EE301, PHYS101, CYBER301, CYBER301",20,"R, SQL, Pandas, TensorFlow, Deep Learning","Critical Thinking, Communication, Leadership, Problem-solving","Data Science, NLP, None, Artificial Intelligence","Cybersecurity Analyst, Data Scientist, Software Engineer","Photography, Cooking",Kinesthetic,Alone,Late night,"Computer Vision, Machine Learning, Cybersecurity, AI"
202491046,Nora,Hunter,Ramos,Female,2006-03-27,United States,United States,(712) 544-7574,nora.ramos33@gmail.com,2147 Main Drive,Los Angeles,WA,94338,University of California--Los Angeles,2.73,3.72; 3.53; 3.23,82,35,3,"AI501, DS401, PHYS101",11,"JavaScript, R, SQL","Communication, Teamwork, Problem-solving, Critical Thinking, Leadership, Time Management","Machine Learning, Computer Vision, Cybersecurity","Data Scientist, ML Engineer","Sports, Photography, Hiking, Reading, Cooking, Gaming",Reading/Writing,One-on-one,Late night,"NLP, AI, Data Science"
202334854,Mia,Dylan,Ortiz,Female,2003-12-12,United States,United States,(785) 548-1683,mia.ortiz67@gmail.com,2026 Cedar Boulevard,Houston,MA,68201,University of Wisconsin--Madison,2.3,None,134,0,5,"ECON101, BIO202, ECON101, CS101, BIO202",18,"JavaScript, Docker, SQL, R, Git, Python, Java, Deep Learning","Leadership, Time Management, Problem-solving",,Software Engineer,"Sports, Cooking, Reading, Hiking, Music",Reading/Writing,Alone,Late night,"NLP, Computer Vision, Cybersecurity, AI"
202476530,Kennedy,Luna,Hughes,Female,2002-12-31,United States,United States,(331) 336-9748,kennedy.hughes69@gmail.com,8767 Maple Road,Denver,TX,24397,University of Washington,3.57,3.16; 3.56,123,1,6,"ECON101, PSY101, ECON101, DATA201, MATH101, BIO202",22,"SQL, Machine Learning, Java, JavaScript","Communication, Teamwork, Leadership, Critical Thinking",,AI Researcher,"Reading, Cooking, Music",Kinesthetic,Small group,Late night,"NLP, Machine Learning, Data Science"
202148363,Lyla,Skylar,Lewis,Female,2006-05-20,United States,United States,(718) 981-9570,lyla.lewis50@gmail.com,9402 Sunset Boulevard,Boston,CA,35692,Columbia University,3.5,3.95; 3.34; 3.33; 3.83; 3.35; 2.46,108,22,6,"AI501, CS101, PHYS101, DS401, DATA201, BIO202",21,"TensorFlow, Java, Deep Learning, C++, PyTorch, Pandas","Leadership, Teamwork, Communication, Problem-solving",Cybersecurity,"Cybersecurity Analyst, Software Engineer","Cooking, Music",Auditory,One-on-one,Evening,"None, Cybersecurity, Data Science, Computer Vision"
202104560,Ivy,Gael,Hughes,Female,2003-01-11,United States,United States,(749) 997-5578,ivy.hughes64@gmail.com,6240 Maple Road,Los Angeles,NY,79772,University of Pennsylvania,3.43,3.81; 2.69; 2.43; 3.84; 2.38; 3.93,101,13,3,"CS101, PSY101, ML502",12,"SQL, Git, PyTorch","Leadership, Teamwork, Time Management, Critical Thinking","Machine Learning, None, NLP, Cybersecurity","Software Engineer, ML Engineer, Cybersecurity Analyst","Music, Gaming, Cooking",Auditory,Online,Morning,"AI, NLP"
202525340,Vivian,Charlotte,Nguyen,Female,2006-06-01,United States,United States,(599) 788-4643,vivian.nguyen6@gmail.com,"857 Hill Street, Apt 108",Denver,NY,81232,University of California--Los Angeles,2.7,2.75; 3.48; 2.75,138,0,6,"ML502, AI501, PHYS101, ECON101, EE301, ECON101",21,"Cybersecurity, Deep Learning, PyTorch, C++","Communication, Critical Thinking, Problem-solving, Leadership, Time Management, Teamwork","Artificial Intelligence, Computer Vision",Cybersecurity Analyst,"Sports, Hiking",Auditory,Alone,Late night,"None, NLP, AI"
202421033,Gabriella,James,Robinson,Female,2002-06-20,United States,United States,(203) 343-3854,gabriella.robinson15@gmail.com,"5609 Oak Drive, Apt 153",New York,NY,82392,Northwestern University,2.42,2.75; 3.15; 2.38; 3.99; 2.28; 2.78,17,107,5,"DATA201, CYBER301, MATH101, ECON101, CYBER301",17,"TensorFlow, Pandas, Machine Learning, Python, AWS, PyTorch","Communication, Critical Thinking, Teamwork, Problem-solving, Time Management, Leadership","Computer Vision, Machine Learning","Data Scientist, Software Engineer, Cybersecurity Analyst","Sports, Music, Gaming, Photography, Reading",Reading/Writing,One-on-one,Evening,"Data Science, NLP, Machine Learning"
202085402,Eleanor,Henry,Lee,Female,2001-11-30,United States,United States,(697) 916-1439,eleanor.lee25@gmail.com,5084 Main Way,Chicago,FL,34824,Purdue University,2.45,2.74; 3.9,138,0,3,"CYBER301, PHYS101, PSY101",11,"R, Git, AWS","Teamwork, Time Management, Communication, Critical Thinking, Problem-solving, Leadership","Artificial Intelligence, Cybersecurity, None","AI Researcher, Data Scientist, ML Engineer, Cybersecurity Analyst","Gaming, Music, Hiking",Kinesthetic,Alone,Late night,"Data Science, None, Computer Vision, AI"
202227768,Josiah,Easton,Lewis,Male,2004-08-22,United States,United States,(319) 754-2519,josiah.lewis45@gmail.com,9719 Park Drive,Los Angeles,GA,40976,Northwestern University,2.38,2.35,122,2,5,"EE301, AI501, BIO202, ML502, CS101",19,"Python, Deep Learning, R, SQL, C++, Docker","Problem-solving, Time Management, Communication","NLP, Cybersecurity, Data Science, Computer Vision",Software Engineer,"Reading, Music",Reading/Writing,Online,Evening,"Cybersecurity, None, Computer Vision, Data Science"
202574474,Audrey,Maverick,Rogers,Female,2006-02-11,United States,United States,(687) 234-8255,audrey.rogers57@gmail.com,2585 Pine Boulevard,Boston,WA,45174,University of California--San Diego,3.9,2.05; 2.41; 2.02; 3.01; 3.91,112,14,5,"AI501, AI501, MATH101, DS401, MATH101",17,"Docker, TensorFlow, R, Cybersecurity, Python, JavaScript","Leadership, Problem-solving, Critical Thinking, Time Management, Communication, Teamwork","Artificial Intelligence, NLP, None",Cybersecurity Analyst,"Sports, Reading, Gaming",Reading/Writing,Small group,Afternoon,Data Science
202320361,Wyatt,Cooper,Lee,Male,2003-02-28,United States,United States,(292) 339-9287,wyatt.lee44@gmail.com,4062 Main Way,Miami,FL,43060,Duke University,2.78,None,117,0,6,"CS201, DS401, CS101, ECON101, EE301, MATH101",22,"Docker, Pandas, Python, Machine Learning","Communication, Critical Thinking, Time Management, Leadership, Problem-solving, Teamwork",Artificial Intelligence,ML Engineer,"Photography, Reading, Sports, Gaming, Music, Cooking",Kinesthetic,Small group,Morning,"Machine Learning, Data Science, Computer Vision"
202587394,Ella,Dominic,Nelson,Female,2006-05-19,United States,United States,(610) 624-4421,ella.nelson76@gmail.com,"9228 Sunset Lane, Apt 136",Atlanta,IL,13593,Massachusetts Institute of Technology,3.45,None,73,55,4,"CYBER301, DATA201, ECON101, DS401",14,"TensorFlow, PyTorch, C++, AWS, Docker, Cybersecurity, Pandas, Deep Learning, Java","Leadership, Teamwork, Communication, Time Management, Critical Thinking, Problem-solving","Machine Learning, Computer Vision, Artificial Intelligence","ML Engineer, Cybersecurity Analyst, Data Scientist, AI Researcher","Music, Reading",Auditory,Small group,Afternoon,"NLP, None, AI, Data Science, Computer Vision"
202282130,Elias,Ethan,Hughes,Male,2003-01-03,United States,United States,(615) 625-3156,elias.hughes60@gmail.com,8735 Park Road,Chicago,CA,29285,Stanford University,3.46,3.41; 3.5; 2.16; 3.77; 2.72,108,10,3,"EE301, DATA201, EE301",9,"PyTorch, Pandas, Python, Java, R","Problem-solving, Time Management, Critical Thinking, Leadership","Machine Learning, Artificial Intelligence","Cybersecurity Analyst, Software Engineer","Cooking, Sports, Hiking, Gaming, Reading",Visual,One-on-one,Late night,"Machine Learning, Computer Vision"
202506868,Caleb,Zoey,Price,Male,2001-02-12,United States,United States,(885) 335-1453,caleb.price80@gmail.com,"7083 Main Way, Apt 23",Seattle,GA,87911,Georgia Institute of Technology,2.56,2.8,34,84,5,"ECON101, PSY101, CS101, CS201, ECON101",18,"R, Java, TensorFlow, C++","Teamwork, Time Management, Leadership","NLP, None, Cybersecurity, Machine Learning","Data Scientist, ML Engineer","Music, Reading, Sports, Gaming, Photography, Cooking",Auditory,Alone,Evening,"Computer Vision, Cybersecurity, None, AI, Data Science"
202455337,Eloise,Christopher,Cox,Female,2005-12-23,United States,United States,(925) 672-8864,eloise.cox22@gmail.com,1464 Elm Lane,Austin,WA,70226,Georgia Institute of Technology,2.81,2.22; 3.58; 2.62; 2.37; 3.12; 2.94,75,53,6,"CS201, MATH101, MATH101, EE301, MATH101, PHYS101",21,"SQL, Cybersecurity, JavaScript, PyTorch, Deep Learning, Machine Learning, R, Pandas, Docker","Time Management, Problem-solving, Leadership, Communication, Critical Thinking, Teamwork","Artificial Intelligence, Cybersecurity, Data Science","Data Scientist, Software Engineer, Cybersecurity Analyst","Cooking, Reading, Gaming, Sports, Music, Hiking",Kinesthetic,Small group,Evening,"NLP, Data Science, AI, None"
202105125,Everett,Weston,Johnson,Male,2001-09-27,United States,United States,(895) 540-3429,everett.johnson60@gmail.com,"6964 Maple Boulevard, Apt 59",Denver,TX,47746,University of Washington,3.79,2.76; 3.56; 3.39,50,64,5,"CS201, CS101, PHYS101, CYBER301, CS201",16,"Java, Pandas, Cybersecurity, Docker","Leadership, Problem-solving, Communication, Teamwork","Data Science, Cybersecurity","ML Engineer, Software Engineer, Cybersecurity Analyst, AI Researcher","Sports, Gaming, Cooking, Hiking, Reading, Music",Kinesthetic,Online,Evening,"Machine Learning, NLP"
202475301,Carson,Leilani,Ross,Male,2005-09-06,United States,United States,(616) 269-6107,carson.ross39@gmail.com,6906 Park Way,Seattle,FL,88004,Columbia University,2.33,2.33,56,63,6,"PHYS101, PSY101, DATA201, AI501, EE301, PSY101",20,"Docker, AWS, Cybersecurity, JavaScript","Communication, Critical Thinking, Teamwork, Time Management, Leadership",NLP,"Software Engineer, Cybersecurity Analyst","Music, Cooking, Gaming, Reading, Sports, Hiking",Reading/Writing,One-on-one,Evening,"Machine Learning, NLP, None, Cybersecurity, AI"
202052925,Sophie,Elijah,Scott,Female,2003-05-19,United States,United States,(385) 435-7932,sophie.scott40@gmail.com,"9765 Pine Way, Apt 177",Chicago,GA,83129,Columbia University,3.48,2.91; 2.5,145,0,4,"ECON101, DATA201, DS401, MATH101",14,"Deep Learning, C++, Cybersecurity","Problem-solving, Communication, Teamwork, Time Management, Leadership",NLP,"Data Scientist, Software Engineer, Cybersecurity Analyst, AI Researcher","Reading, Sports, Photography, Music",Visual,Small group,Afternoon,"Cybersecurity, AI"
202390344,Eli,Gabriella,Lopez,Male,2004-12-31,United States,United States,(289) 334-6255,eli.lopez30@gmail.com,5412 Lake Way,Miami,MA,93106,Cornell University,4.0,None,84,30,4,"ECON101, BIO202, BIO202, CS101",13,"Machine Learning, Deep Learning, Python, Docker, AWS, Java, TensorFlow","Critical Thinking, Communication, Teamwork, Leadership",NLP,"ML Engineer, AI Researcher, Software Engineer","Hiking, Music, Reading, Sports, Photography, Gaming",Kinesthetic,One-on-one,Late night,Data Science
202043553,Liliana,Waylon,Thompson,Female,2002-06-23,United States,United States,(496) 357-1896,liliana.thompson41@gmail.com,"4649 Sunset Avenue, Apt 5",Los Angeles,IL,27580,New York University,3.74,None,108,15,4,"AI501, MATH101, AI501, CS101",15,"AWS, PyTorch, Git, Cybersecurity, R, Machine Learning, Docker","Teamwork, Communication, Leadership, Time Management, Critical Thinking, Problem-solving",,ML Engineer,"Reading, Photography",Visual,One-on-one,Late night,None
202184651,Dominic,Nathan,Kim,Male,2006-06-12,United States,United States,(736) 235-1197,dominic.kim62@gmail.com,8512 Lake Lane,Atlanta,FL,15015,Yale University,2.78,3.31; 2.77; 2.49,44,79,6,"PSY101, BIO202, ML502, ECON101, ECON101, BIO202",23,"Pandas, Docker, C++, Python","Critical Thinking, Communication, Problem-solving",NLP,"Cybersecurity Analyst, Data Scientist","Music, Sports, Reading, Photography",Auditory,Alone,Afternoon,None
202368149,Sadie,Elizabeth,Gutierrez,Female,2005-03-01,United States,United States,(884) 822-6987,sadie.gutierrez52@gmail.com,1791 Elm Road,Denver,GA,20411,University of Wisconsin--Madison,2.74,2.53; 2.07; 2.87,121,3,5,"CYBER301, PHYS101, PHYS101, PSY101, PHYS101",19,"SQL, JavaScript, Machine Learning, Java","Critical Thinking, Problem-solving, Leadership","Machine Learning, Artificial Intelligence, NLP, None","ML Engineer, AI Researcher, Data Scientist","Photography, Gaming, Hiking, Music",Reading/Writing,Online,Afternoon,Computer Vision
202480507,Sebastian,Austin,Murphy,Male,2006-05-25,United States,United States,(442) 732-9355,sebastian.murphy62@gmail.com,"1873 Hill Way, Apt 42",Los Angeles,WA,47115,University of Texas at Austin,3.23,2.31; 3.7; 2.29; 3.33; 2.28,110,9,5,"CYBER301, DS401, CS201, BIO202, EE301",17,"SQL, Git, Java, Deep Learning","Teamwork, Leadership, Communication, Critical Thinking","Machine Learning, NLP, Artificial Intelligence, Computer Vision",ML Engineer,"Sports, Gaming",Kinesthetic,Small group,Evening,"Machine Learning, AI, Data Science, Cybersecurity, Computer Vision"
202490836,Bella,Leah,Chavez,Female,2004-07-10,United States,United States,(662) 304-4022,bella.chavez47@gmail.com,4547 Sunset Way,Atlanta,GA,35513,University of California--Berkeley,2.91,3.21; 2.76; 2.29; 2.31,98,32,6,"CS201, CS201, ML502, DS401, ECON101, BIO202",21,"PyTorch, R, AWS","Communication, Teamwork, Leadership","Artificial Intelligence, Cybersecurity, None, Data Science","Cybersecurity Analyst, Software Engineer, AI Researcher, ML Engineer","Gaming, Cooking, Photography",Reading/Writing,One-on-one,Evening,"Computer Vision, NLP, AI, Data Science"
202080540,Miles,Leo,Adams,Male,2006-04-25,United States,United States,(507) 575-1680,miles.adams29@gmail.com,"6504 Hill Road, Apt 142",Boston,MA,30354,Yale University,2.33,3.6,81,46,4,"PSY101, BIO202, BIO202, DATA201",14,"Deep Learning, Cybersecurity, Java","Critical Thinking, Leadership, Problem-solving","NLP, Computer Vision, Artificial Intelligence","Software Engineer, Data Scientist, AI Researcher","Music, Reading, Photography, Hiking, Cooking, Gaming",Reading/Writing,Alone,Morning,None
202164178,Dominic,Beau,Carter,Male,2002-08-09,United States,United States,(522) 851-2897,dominic.carter57@gmail.com,5077 Park Boulevard,Boston,NY,15933,University of Illinois Urbana-Champaign,2.67,None,86,26,4,"CYBER301, CS101, AI501, CS201",13,"TensorFlow, PyTorch, Python, SQL, Pandas, Docker, Machine Learning, R, JavaScript","Time Management, Communication, Teamwork","Data Science, Artificial Intelligence, Cybersecurity","ML Engineer, Data Scientist, Software Engineer, AI Researcher","Reading, Sports, Hiking",Reading/Writing,One-on-one,Evening,"Machine Learning, None, Data Science, Cybersecurity"
202472824,Hailey,Leonardo,Miller,Female,2004-01-02,United States,United States,(559) 439-2070,hailey.miller90@gmail.com,"547 Cedar Avenue, Apt 116",Boston,GA,10486,University of California--Los Angeles,3.33,2.49,42,75,6,"PHYS101, BIO202, PHYS101, PSY101, ECON101, DATA201",20,"AWS, Python, R, Docker, Git, JavaScript, Java, Deep Learning","Teamwork, Time Management, Problem-solving","Cybersecurity, Data Science",Data Scientist,"Gaming, Music, Reading, Hiking",Kinesthetic,Alone,Morning,"Data Science, Cybersecurity, NLP"
